adlist.c list 	adlist.c list 
list len 	list len 
current 	current 
next list 	next list 
node list 	node list 
node list 	node list 
old node 	old node 
node list 	node list 
node 	node 
list direction 	list direction 
iter iter 	iter iter 
list list 	list list 
iter current 	iter current 
orig copy 	orig copy 
iter 	iter 
node list 	node list 
key iter 	key iter 
node list 	node list 
index list 	index list 
tail zmalloc 	tail zmalloc 
free 	free 
zfree zfree 	zfree zfree 
zmalloc zmalloc 	zmalloc zmalloc 
zmalloc free 	zmalloc free 
zfree zmalloc 	zfree zmalloc 
zfree list 	zfree list 
create 	create 
list iterator 	list iterator 
list next 	list next 
dup list 	dup list 
release list 	release list 
release iterator 	release iterator 
list 	list 
node tail 	node tail 
list release 	list release 
list release 	list release 
iterator list 	iterator list 
release iterator 	release iterator 
list 	list 
iterator list 	iterator list 
next match 	next match 
list release 	list release 
iterator list 	iterator list 
release iterator 	release iterator 
list 	list 
release iterator 	release iterator 
list length 	list length 
adlist doubly 	adlist doubly 
linked list 	linked list 
implementation copyright 	implementation copyright 
salvatore 	salvatore 
sanfilippo antirez 	sanfilippo antirez 
gmail dot 	gmail dot 
rights reserved 	rights reserved 
redistribution use 	redistribution use 
source binary 	source binary 
forms 	forms 
without modification 	without modification 
permitted provided 	permitted provided 
following conditions 	following conditions 
met redistributions 	met redistributions 
source code 	source code 
must 	must 
retain copyright 	retain copyright 
notice list 	notice list 
conditions following 	conditions following 
disclaimer redistributions 	disclaimer redistributions 
binary form 	binary form 
must 	must 
reproduce copyright 	reproduce copyright 
notice list 	notice list 
conditions following 	conditions following 
disclaimer documentation 	disclaimer documentation 
materials provided 	materials provided 
distribution 	distribution 
neither name 	neither name 
redis names 	redis names 
contributors may 	contributors may 
used endorse 	used endorse 
promote products 	promote products 
derived 	derived 
software without 	software without 
specific prior 	specific prior 
written permission 	written permission 
software provided 	software provided 
copyright holders 	copyright holders 
contributors 	contributors 
express implied 	express implied 
warranties including 	warranties including 
limited implied 	limited implied 
warranties merchantability 	warranties merchantability 
fitness particular 	fitness particular 
purpose 	purpose 
disclaimed shall 	disclaimed shall 
copyright owner 	copyright owner 
contributors liable 	contributors liable 
direct indirect 	direct indirect 
incidental special 	incidental special 
exemplary 	exemplary 
consequential damages 	consequential damages 
including limited 	including limited 
procurement substitute 	procurement substitute 
goods services 	goods services 
loss use 	loss use 
data 	data 
profits business 	profits business 
interruption however 	interruption however 
caused theory 	caused theory 
liability whether 	liability whether 
contract strict 	contract strict 
liability 	liability 
tort including 	tort including 
negligence otherwise 	negligence otherwise 
arising way 	arising way 
use software 	use software 
even advised 	even advised 
possibility 	possibility 
damage create 	damage create 
list created 	list created 
list freed 	list freed 
free list 	free list 
every node 	every node 
need 	need 
freed user 	freed user 
call free 	call free 
list error 	list error 
returned otherwise 	returned otherwise 
pointer list 	pointer list 
free 	free 
whole list 	whole list 
function fail 	function fail 
node list 	node list 
head containing 	head containing 
specified pointer 	specified pointer 
error 	error 
returned operation 	returned operation 
performed list 	performed list 
remains unaltered 	remains unaltered 
success list 	success list 
pointer pass 	pointer pass 
function 	function 
returned node 	returned node 
list tail 	list tail 
containing specified 	containing specified 
pointer error 	pointer error 
returned operation 	returned operation 
performed 	performed 
list remains 	list remains 
